[2021-08-10 20:59:33,059] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 100000000.0 / 2026.16 :  
[2021-08-10 20:59:33,529] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 100000000.0 / 632.04 :  
[2021-08-10 20:59:36,268] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3333333.3333333335 / 5281.0 :  
[2021-08-10 20:59:36,268] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3333333.3333333335 / 2102.0 :  
[2021-08-10 20:59:36,268] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3333333.3333333335 / 2075.0 :  
[2021-08-10 20:59:36,268] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3333333.3333333335 / 5170.0 :  
[2021-08-10 20:59:36,268] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3333333.3333333335 / 2898.0 :  
[2021-08-10 20:59:36,284] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3333333.3333333335 / 5320.0 :  
[2021-08-10 20:59:36,284] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3333333.3333333335 / 3670.0 :  
[2021-08-10 20:59:36,284] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3333333.3333333335 / 5016.0 :  
[2021-08-10 20:59:36,284] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3333333.3333333335 / 10100.0 :  
[2021-08-10 20:59:36,284] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3333333.3333333335 / 3180.0 :  
[2021-08-10 20:59:36,284] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3333333.3333333335 / 8016.0 :  
[2021-08-10 20:59:36,284] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3333333.3333333335 / 12950.0 :  
[2021-08-10 20:59:36,300] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3333333.3333333335 / 3805.0 :  
[2021-08-10 20:59:36,300] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3333333.3333333335 / 4195.0 :  
[2021-08-10 20:59:36,300] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3333333.3333333335 / 4385.0 :  
[2021-08-10 20:59:36,306] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3333333.3333333335 / 6690.0 :  
