[2021-06-06 12:07:43,409] I Naver_Band.py | Naver_Band_HTH-__init__-0048 I DEBUG    > Naver_Band class start.
[2021-06-06 12:07:56,223] I Naver_Band.py | Naver_Band_HTH-data_spell_spacing_func-0062 I DEBUG    > noSpacing_data 0/2918
[2021-06-06 12:07:58,422] I Naver_Band.py | Naver_Band_HTH-data_spell_spacing_func-0062 I DEBUG    > noSpacing_data 1/2918
[2021-06-06 12:07:58,422] I Naver_Band.py | Naver_Band_HTH-data_spell_spacing_func-0062 I DEBUG    > noSpacing_data 2/2918
[2021-06-06 12:07:58,423] I Naver_Band.py | Naver_Band_HTH-data_spell_spacing_func-0062 I DEBUG    > noSpacing_data 3/2918
[2021-06-06 12:07:58,423] I Naver_Band.py | Naver_Band_HTH-data_spell_spacing_func-0062 I DEBUG    > noSpacing_data 4/2918
[2021-06-06 12:07:58,424] I Naver_Band.py | Naver_Band_HTH-data_spell_spacing_func-0062 I DEBUG    > noSpacing_data 5/2918
[2021-06-06 12:07:58,424] I Naver_Band.py | Naver_Band_HTH-data_spell_spacing_func-0062 I DEBUG    > noSpacing_data 6/2918
[2021-06-06 12:07:58,424] I Naver_Band.py | Naver_Band_HTH-data_spell_spacing_func-0062 I DEBUG    > noSpacing_data 7/2918
[2021-06-06 12:07:58,424] I Naver_Band.py | Naver_Band_HTH-data_spell_spacing_func-0062 I DEBUG    > noSpacing_data 8/2918
[2021-06-06 12:07:58,425] I Naver_Band.py | Naver_Band_HTH-data_spell_spacing_func-0062 I DEBUG    > noSpacing_data 9/2918
[2021-06-06 12:07:58,425] I Naver_Band.py | Naver_Band_HTH-data_spell_spacing_func-0062 I DEBUG    > noSpacing_data 10/2918
[2021-06-06 12:07:58,425] I Naver_Band.py | Naver_Band_HTH-data_spell_spacing_func-0062 I DEBUG    > noSpacing_data 11/2918
[2021-06-06 12:07:58,425] I Naver_Band.py | Naver_Band_HTH-data_spell_spacing_func-0062 I DEBUG    > noSpacing_data 12/2918
[2021-06-06 12:07:58,425] I Naver_Band.py | Naver_Band_HTH-data_spell_spacing_func-0062 I DEBUG    > noSpacing_data 13/2918
[2021-06-06 12:07:58,425] I Naver_Band.py | Naver_Band_HTH-data_spell_spacing_func-0062 I DEBUG    > noSpacing_data 14/2918
[2021-06-06 12:07:58,425] I Naver_Band.py | Naver_Band_HTH-data_spell_spacing_func-0062 I DEBUG    > noSpacing_data 15/2918
[2021-06-06 12:07:58,425] I Naver_Band.py | Naver_Band_HTH-data_spell_spacing_func-0062 I DEBUG    > noSpacing_data 16/2918
[2021-06-06 12:07:58,426] I Naver_Band.py | Naver_Band_HTH-data_spell_spacing_func-0062 I DEBUG    > noSpacing_data 17/2918
[2021-06-06 12:07:58,426] I Naver_Band.py | Naver_Band_HTH-data_spell_spacing_func-0062 I DEBUG    > noSpacing_data 18/2918
[2021-06-06 12:07:58,426] I Naver_Band.py | Naver_Band_HTH-data_spell_spacing_func-0062 I DEBUG    > noSpacing_data 19/2918
[2021-06-06 12:07:58,426] I Naver_Band.py | Naver_Band_HTH-data_spell_spacing_func-0062 I DEBUG    > noSpacing_data 20/2918
[2021-06-06 12:07:58,426] I Naver_Band.py | Naver_Band_HTH-data_spell_spacing_func-0062 I DEBUG    > noSpacing_data 21/2918
[2021-06-06 12:07:58,426] I Naver_Band.py | Naver_Band_HTH-data_spell_spacing_func-0062 I DEBUG    > noSpacing_data 22/2918
[2021-06-06 12:07:58,426] I Naver_Band.py | Naver_Band_HTH-data_spell_spacing_func-0062 I DEBUG    > noSpacing_data 23/2918
[2021-06-06 12:07:58,426] I Naver_Band.py | Naver_Band_HTH-data_spell_spacing_func-0062 I DEBUG    > noSpacing_data 24/2918
[2021-06-06 12:07:58,427] I Naver_Band.py | Naver_Band_HTH-data_spell_spacing_func-0062 I DEBUG    > noSpacing_data 25/2918
[2021-06-06 12:07:58,427] I Naver_Band.py | Naver_Band_HTH-data_spell_spacing_func-0062 I DEBUG    > noSpacing_data 26/2918
[2021-06-06 12:07:58,427] I Naver_Band.py | Naver_Band_HTH-data_spell_spacing_func-0062 I DEBUG    > noSpacing_data 27/2918
[2021-06-06 12:07:58,427] I Naver_Band.py | Naver_Band_HTH-data_spell_spacing_func-0062 I DEBUG    > noSpacing_data 28/2918
[2021-06-06 12:07:58,427] I Naver_Band.py | Naver_Band_HTH-data_spell_spacing_func-0062 I DEBUG    > noSpacing_data 29/2918
[2021-06-06 12:07:58,427] I Naver_Band.py | Naver_Band_HTH-data_spell_spacing_func-0062 I DEBUG    > noSpacing_data 30/2918
[2021-06-06 12:07:58,427] I Naver_Band.py | Naver_Band_HTH-data_spell_spacing_func-0062 I DEBUG    > noSpacing_data 31/2918
[2021-06-06 12:07:58,427] I Naver_Band.py | Naver_Band_HTH-data_spell_spacing_func-0062 I DEBUG    > noSpacing_data 32/2918
[2021-06-06 12:07:58,428] I Naver_Band.py | Naver_Band_HTH-data_spell_spacing_func-0062 I DEBUG    > noSpacing_data 33/2918
[2021-06-06 12:07:58,428] I Naver_Band.py | Naver_Band_HTH-data_spell_spacing_func-0062 I DEBUG    > noSpacing_data 34/2918
[2021-06-06 12:07:58,428] I Naver_Band.py | Naver_Band_HTH-data_spell_spacing_func-0062 I DEBUG    > noSpacing_data 35/2918
[2021-06-06 12:07:58,428] I Naver_Band.py | Naver_Band_HTH-data_spell_spacing_func-0062 I DEBUG    > noSpacing_data 36/2918
[2021-06-06 12:07:58,428] I Naver_Band.py | Naver_Band_HTH-data_spell_spacing_func-0062 I DEBUG    > noSpacing_data 37/2918
[2021-06-06 12:07:58,428] I Naver_Band.py | Naver_Band_HTH-data_spell_spacing_func-0062 I DEBUG    > noSpacing_data 38/2918
